"nautical"|"port_destination"|"port_origin"|"code_origin"|"code_destination"|"lat_origin"|"long_origin"|"lat_dest"|"long_dest"|"name_origin"|"name_dest"
210|"6a01e7c5-05e6-4ab7-a706-f0936f32a837"|"00739854-654f-469c-b5af-31680f7ae36e"|"662"|"893"|None|None|"5.0725"|"119.222"|Labuan Bajo|Makassar
72|bb5c997e-f3ac-4b41-92d1-23458aa5c1f1|fae05bc9-d823-45fe-8307-0dc9c6484af3|"924"|"922"|-4.837368|"122.73694"|-2.53739|"121.974"|Raha|Kendari
188|"82b1c923-ec01-4b86-b583-150f729fcda7"|bb5c997e-f3ac-4b41-92d1-23458aa5c1f1|"922"|"867"|-2.53739|"121.974"|-1.69|"121.893"|Kendari|Kolonedale
126|"671a506b-187c-4273-808f-84ca5a2bc8c5"|"82b1c923-ec01-4b86-b583-150f729fcda7"|"867"|"868"|-1.69|"121.893"|-0.94963|"122.793"|Kolonedale|Luwuk
142|"9d79dfde-0237-4b7a-9a6d-61b918d04527"|"671a506b-187c-4273-808f-84ca5a2bc8c5"|"868"|"841"|-0.94963|"122.793"|"0.50442"|"123.06"|Luwuk|Gorontalo
95|d4c6e479-485e-48f4-8f31-625934589b90|ffe0f370-0b31-4d63-9e7f-10425a8dc93b|"246"|"255"|"2.989606"|"107.76395"|"2.49"|"109.01"|Midai|Serasan
181|a9dcc099-2fd6-483c-adef-04e59d230dff|d4c6e479-485e-48f4-8f31-625934589b90|"255"|"714"|"2.49"|"109.01"|-0.01988|"109.333"|Serasan|Pontianak
110|a82ca9c3-9596-465c-910e-f4371d44c198|"00739854-654f-469c-b5af-31680f7ae36e"|"662"|"663"|None|None|-8.84532|"121.643"|Labuan Bajo|Marapokot
250|"6a01e7c5-05e6-4ab7-a706-f0936f32a837"|a82ca9c3-9596-465c-910e-f4371d44c198|"663"|"893"|-8.84532|"121.643"|"5.0725"|"119.222"|Marapokot|Makassar
345|d7f680b0-bee8-411a-adc5-aa56eabf72db|b2811ee3-48f4-41a3-b82a-bcd88ef3233c|"946"|"971"|-3.6942|"128.177"|-0.8822873|"131.25055"|Ambon|Sorong
360|"8a2f3ea5-ffc5-475b-a8e0-a22ab001d20f"|d7f680b0-bee8-411a-adc5-aa56eabf72db|"971"|"975"|-0.8822873|"131.25055"|-1.88621|"136.245"|Sorong|Serui
120|"05aa9d6c-6999-4f7a-b4d6-7dddca9db337"|"8a2f3ea5-ffc5-475b-a8e0-a22ab001d20f"|"975"|"973"|-1.88621|"136.245"|-1.18419|"136.077"|Serui|Biak
210|"13c7b8da-0c67-4944-9c46-5168574c909f"|"6a01e7c5-05e6-4ab7-a706-f0936f32a837"|"893"|"672"|"5.0725"|"119.222"|||Makassar|Reo
124|bb5c997e-f3ac-4b41-92d1-23458aa5c1f1|"51eb8d94-2e63-49d4-b6ca-34d95a97f4af"|"923"|"922"|-5.3356404|"123.53382"|-2.53739|"121.974"|Wanci|Kendari
344|"37463b21-4d37-4327-839a-56985cdc8aa0"|af181acc-3b91-46f0-8f76-006dcd4b2d9f|"266"|"144"|"0.5929"|"103.26223"|"3.77864"|"98.6992"|Tanjung Balai Karimun|Belawan
224|"7d09ed71-36f8-40bf-996a-5a09bae5dc3d"|"4a1be77c-4d5b-4c03-9186-c49c9049424d"|"925"|"835"|None|None|"1.4436483"|"125.20453"|Babang|Bitung
361|"37463b21-4d37-4327-839a-56985cdc8aa0"|"6ab1ca09-de32-4015-a5aa-07a51eb8c246"|"256"|"144"|"1.08207"|"103.936"|"3.77864"|"98.6992"|Batam/Batu Ampar|Belawan
